Site,Unit,Mont.Sample.No.,John.Sample.No.,Elevation,Layer,Context,Depth,Cyperaceae,Typha.Sparganium,Alternanthera,Apiaceae,Anemone,Asteraceae HS,Asteraceae LS,Centaurea,Asteraceae Liguliflorae,Astragalus.Vicia,Boerhaavia,Brassicaceae,Caryophyllaceae,ChenoAm,Cirsium,Convolvulaceae,Corchorus,Croton,Dipsacus,Echium,Ephedra,Euphorbiaceae,Fabaceae,Fagopyrum,Fragaria,Geraniaceae,Gossypium,Hypericaceae,Impatiens,Lamiaceae,Liliaceae,Lonicera,Lythraceae,Melilotus,Mitchellia,Nyctaginaceae,Onagraceae,Parthenocissus,Plantago.II,Plantago,Poaceae,Polygonaceae,Polygonum,Portulaca,Ranunculaceae,Richardia,Rosa,Rosaceae,Rubus,Rumex,Scrophulariaceae,Solanaceae,Trifolium,Trifolium.repens,Cannabis.Urtica,Verbenaceae,Vitis,Yucca,Cerealea,Cerealea.type.B,Zea mays,Acer,Aesculus,Ailanthus,Alnus,Asimina,Betula,Carpinus,Carya,Castanea,Catalpa,Celtis,Cephalanthus,Cornus,Corylus,Diospyros,Ericaceae,Fagus,Fraxinus,Gleditsia,Gymnocladus,Ilex,Juglans.nigra,Liquidambar,Liriodendron,Magnolia,Malus.Pyrus,Myrica,Myrtaceae,Nyssa.aquatica,Nyssa.sylvatica,Ostrya,Picea,Pinus,Platanus,Podocarpus,Prunus,Quercus,Rhamnaceae,Rhus,Salix,Sambucus,TCT,Tilia,Tsuga,Ulmus,Viburnum,Zanthoxylum,Indeterminant,Unknown.B,Unknown.C,Unknown.G,Unknown S,Osmunda,Aquatics,Herbs and Cultigens,Arboreal,Other,Ferns,Total Pollen Sum,Total Ferns
Paw Paw,1,1S-21,290,380.1,4,G,2.9,0,0,0,4,0,0,74,,0,0,,0,0,23,1,0,,0,,,,0,0.0 ,0,0,,0,,0,0,1,,0,0,0,,,0,,3,11,1,0,0,0,1,,1,0,,,0,0,1,0,0,6,0,1,,1,0,,0,6,0,0,1,6,30,,0,0,0,0,,0,2,1,,,0,0,0,0,,,0,0,0,0,0,0,23,5,0,1,48,0,0,2,0,11,2,1,0,0,,9,,,0,1,1,0,129,139,10,1,278,1
Paw Paw,1,1S-20,300,380,4,H,3,0,0,0,3,0,0,67,,0,0,,0,0,16,0,0,,0,,,,0,0.0 ,0,0,,0,,0,0,0,,0,0,0,,,0,,5,9,0,0,1,0,0,,0,0,,,0,0,0,0,0,6,0,3,,0,0,,0,2,0,2,0,5,62,,0,0,2,0,,0,2,3,,,6,0,0,0,,,0,0,0,0,0,0,26,5,0,0,42,0,0,1,0,10,4,0,0,0,,6,,,0,0,0,0,110,172,6,0,288,0
Paw Paw,1,1S-19,310,379.9,4,H,3.1,0,0,0,2,0,0,45,,1,0,,0,0,14,0,0,,0,,,,0,0.0 ,0,0,,0,,0,0,0,,0,0,0,,,0,,4,7,0,0,0,0,0,,0,0,,,0,0,0,0,1,1,0,2,,0,0,,0,1,0,0,0,8,34,,0,0,0,0,,0,1,1,,,1,1,0,1,,,0,0,0,0,0,0,9,5,0,1,38,0,1,1,0,10,0,1,0,0,,7,,,1,1,2,0,77,114,9,2,200,2
Paw Paw,1,1S-18,320,379.8,4,H,3.2,0,0,0,1,0,0,17,,0,0,,0,0,5,0,0,,0,,,,0,0.0 ,0,0,,0,,0,0,0,,0,0,0,,,0,,4,5,0,0,0,0,0,,0,0,,,0,0,0,4,0,4,0,0,,0,0,,0,2,0,0,0,7,54,,0,0,0,0,,0,2,1,,,1,0,0,1,,,0,0,0,0,0,0,10,2,0,0,60,0,1,0,0,12,0,0,1,0,,6,,,0,0,0,0,40,154,6,0,200,0
Paw Paw,1,1S-17,330,379.7,5,I,3.3,1,0,0,2,0,0,34,,0,0,,0,0,3,0,0,,0,,,,0,0.0 ,0,0,,0,,0,0,0,,0,0,0,,,0,,2,5,0,0,0,0,0,,1,0,,,0,0,0,1,0,3,0,0,,0,0,,0,0,0,2,0,7,27,,0,0,0,0,,0,0,2,,,0,1,0,2,,,0,0,0,0,0,0,13,2,0,1,72,0,0,1,0,11,0,0,0,0,,7,,,0,0,0,1,51,141,7,0,200,0
Paw Paw,1,1S-16,340,379.6,5,I,3.4,1,0,0,1,0,0,36,,0,0,,0,1,1,0,0,,0,,,,0,0.0 ,0,0,,0,,0,0,0,,0,0,0,,,0,,1,2,0,0,0,0,0,,1,0,,,0,0,0,0,0,9,0,0,,0,0,,0,2,0,0,0,12,19,,0,0,0,0,,0,2,6,,,0,5,1,2,,,0,0,0,0,0,0,11,2,0,0,55,0,3,1,0,18,0,0,0,0,,6,,,0,2,2,1,52,139,8,2,200,2
Paw Paw,1,1S-15,350,379.5,5,I,3.5,1,0,0,2,0,0,28,,0,0,,0,0,9,1,0,,0,,,,0,0.0 ,0,0,,0,,0,0,0,,0,0,0,,,0,,2,6,0,0,0,0,0,,0,0,,,1,0,0,1,0,6,0,0,,1,0,,0,2,0,0,0,8,25,,0,0,1,0,,0,1,4,,,0,5,0,3,,,0,0,0,0,0,0,13,5,0,1,42,1,0,1,0,18,0,0,1,0,,10,,,0,1,1,1,57,131,11,1,200,1
Paw Paw,1,1S-14,360,379.4,5,I,3.6,1,0,0,3,0,1,13,,0,0,,0,0,0,0,0,,0,,,,0,0.0 ,0,0,,0,,0,0,0,,0,0,0,,,0,,1,4,1,0,0,1,0,,1,0,,,0,0,0,0,0,11,0,0,,0,0,,0,2,0,1,0,17,27,,2,1,2,0,,0,4,6,,,0,2,0,5,,,0,0,0,0,0,0,12,2,0,1,49,3,2,1,0,11,0,1,0,0,,9,,,0,3,1,1,36,151,12,1,200,1
Paw Paw,1,1S-13,370,379.3,5,I,3.7,3,1,0,0,0,1,14,,0,0,,0,0,1,0,0,,0,,,,0,1.0 ,0,0,,0,,0,0,0,,0,0,0,,,0,,0,7,0,0,0,0,0,,3,0,,,0,0,0,0,0,3,0,1,,0,0,,0,9,0,0,0,17,29,,0,0,0,1,,0,1,5,,,0,5,1,4,,,0,0,0,1,0,0,8,3,0,1,53,1,0,2,0,11,0,0,0,0,,9,,,0,4,0,4,30,153,13,0,200,0
Paw Paw,1,1S-12,380,379.2,5,J,3.8,0,0,0,1,0,0,22,,0,0,,0,0,1,1,0,,0,,,,0,1.0 ,0,0,,0,,0,0,0,,0,0,0,,,0,,0,5,0,0,0,0,0,,1,0,,,0,0,0,0,0,13,0,0,,0,0,,0,2,0,2,0,13,46,,0,0,0,0,,0,1,7,,,0,6,0,0,,,0,0,0,0,0,0,3,5,0,1,38,0,1,0,0,12,0,0,0,0,,13,,,0,5,0,0,44,138,18,0,200,0
